#	Isosteric replacements table, release 3 (12-dec-2024)
#	This table was curated by Cedric S. Graebin (University of Dundee, Scotland) 
#	and its contents are based on the work of 
#	Peter Ertl (DOI 10.1021/acs.jcim.0c00290), Subbaiah and Meanwell (DOI 10.1021/acs.jmedchem.1c01215), Dunker, Schlegel, and Junker (DOI 10.1002/ardp.202400700)
#	and Kumari, S., et al. (DOI 10.1021/acs.jmedchem.0c00530).
#	
#	This file is licensed under the GPL v3 License
"R_group";"R-group to search for";"Isostere substitution";"Reference";"Reaction (SMARTS)"
"C[*]";"[#6&D1]-[*]";"[#6&D1]-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#17&D1]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#17&D1]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6&D1]-[#8&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#9&D1]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#9&D1]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6&D3](-[#6&D1])(-[#6&D1])-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6&D1]-[#6&D2]-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#35&D1]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#35&D1]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#7&D1]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#7&D1]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#8&D1]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#8&D1]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#7&D1]#[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#7&D1]#[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6]1-[#6]-[#6]-1-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-1-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#8&D1]-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#8&D1]-[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#7&+&D3](-[#8&-&D1])(=[#8&D1])-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#8&D1]-[#6&D2]-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#8&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C[*]";"[#6&D1]-[*]";"[#6]1-[#6]-[#6]-1-[#6&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#6&D1]-[*:1]>>[#6]1-[#6]-[#6]-1-[#6&D2]-[*:1]"
"O[*]";"[#8&D1]-[*]";"[#6&D1]-[#8&D2]-[#0&D1]";"Ertl, P. J. Chem. Inf. Model. 2020, 60, 7, 3369–3375. DOI 10.1021/acs.jcim.0c00290";"[#8&D1]-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
